match_id,match_date,competition,stage,home_team,away_team,venue,event_id,typeId,periodId,timeMin,timeSec,playerName,contestantId,outcome,x,y,qual_30,qual_130,qual_227,qual_59,qual_194,qual_44,qual_197,qual_131,qual_127,qual_213,qual_279,qual_56,qual_212,qual_141,qual_140,qual_233,qual_286,qual_285,qual_385,qual_178,qual_144,qual_157,qual_1,qual_155,qual_347,qual_189,qual_107,qual_378,qual_123,qual_465,qual_3,qual_22,qual_210,qual_154,qual_195,qual_214,qual_374,qual_328,qual_375,qual_231,qual_103,qual_391,qual_102,qual_230,qual_72,qual_396,qual_17,qual_395,qual_78,qual_55,qual_138,qual_29,qual_15,qual_236,qual_156,qual_383,qual_377,qual_199,qual_167,qual_73,qual_361,qual_223,qual_6,qual_2,qual_20,qual_464,qual_224,qual_376,qual_25,qual_85,qual_16,qual_346,qual_237,qual_124,qual_287,qual_168,qual_18,qual_82,qual_147,qual_76,qual_23,qual_146,qual_215,qual_94,qual_458,qual_88,qual_41,qual_53,qual_74,qual_250,qual_399,qual_185,qual_7,qual_241,qual_5,qual_170,qual_4,qual_468,qual_80,qual_89,qual_108,qual_389,qual_63,qual_113,qual_182,qual_177,qual_179,qual_75,qual_100,qual_265,qual_152,qual_13,qual_31,qual_393,qual_77,qual_196,qual_153,qual_83,qual_81,qual_384,qual_19,qual_295,qual_277,qual_57,qual_294,qual_24,qual_211,qual_42,qual_293,qual_292,qual_145,qual_467,qual_84,qual_62,qual_345,qual_26,qual_392,qual_239,qual_64,qual_173,qual_184,qual_209,qual_229,qual_302,qual_278,qual_343,qual_8,qual_436,qual_136,qual_133,qual_207,qual_201,qual_364,qual_336,qual_365,qual_341,qual_169,qual_180,qual_79,qual_10,qual_397,qual_120,qual_264,qual_87,qual_387,qual_225,qual_121,qual_218,qual_160,qual_216,qual_217,qual_344,qual_319,qual_181,qual_174,qual_60,qual_183,qual_394,qual_175,qual_232,qual_238,qual_388,qual_21,qual_40,qual_200,qual_380,qual_354,qual_386,qual_198,qual_275,qual_300,qual_472,qual_281,qual_282,qual_280,qual_38,qual_61,qual_485,qual_276,qual_114,qual_101,qual_14,qual_86,qual_65,qual_12,qual_37,qual_253,qual_398,qual_252,qual_69,qual_176,qual_381,qual_296,qual_33,qual_36,qual_35,qual_68,qual_273,qual_240,qual_249,qual_67,qual_245,qual_9,qual_254,qual_159,qual_191
e79xdwc30oj2yajnpg8mauqz8,2025-08-19,Concacaf Caribbean Cup,Group Stage,Cibao,Cavalier,Estadio Cibao,2837292705,1,1,43,42,E. Trinidad,6lrtx6i2hsf52v8fh1j43f6cp,1,46.9,12.8,,,,,,,,,,2.86,,Back,13.3,18.2,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e79xdwc30oj2yajnpg8mauqz8,2025-08-19,Concacaf Caribbean Cup,Group Stage,Cibao,Cavalier,Estadio Cibao,2837292713,1,1,43,45,K. Mosquera,6lrtx6i2hsf52v8fh1j43f6cp,1,35.2,20.6,,,,,,,,,,0.57,,Back,13.1,30.9,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e79xdwc30oj2yajnpg8mauqz8,2025-08-19,Concacaf Caribbean Cup,Group Stage,Cibao,Cavalier,Estadio Cibao,2837292757,1,1,43,47,O. de la Cruz,6lrtx6i2hsf52v8fh1j43f6cp,1,45.4,31.8,,,,,,,,,,3.82,,Back,16.1,17.0,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e79xdwc30oj2yajnpg8mauqz8,2025-08-19,Concacaf Caribbean Cup,Group Stage,Cibao,Cavalier,Estadio Cibao,2837292767,1,1,43,54,K. Mosquera,6lrtx6i2hsf52v8fh1j43f6cp,1,42.6,14.4,,,,,,,,,,0.78,,Center,19.4,34.5,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e79xdwc30oj2yajnpg8mauqz8,2025-08-19,Concacaf Caribbean Cup,Group Stage,Cibao,Cavalier,Estadio Cibao,2837292769,61,1,43,57,L. Villalba,6lrtx6i2hsf52v8fh1j43f6cp,0,57.1,34.5,,,,,,,,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e79xdwc30oj2yajnpg8mauqz8,2025-08-19,Concacaf Caribbean Cup,Group Stage,Cibao,Cavalier,Estadio Cibao,2837292775,1,1,43,58,L. Watson,3v5e2q2vqn0fgqrbkz6dbfs3i,0,31.3,67.8,,,,,,,,,,5.61,,Back,2.3,65.7,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e79xdwc30oj2yajnpg8mauqz8,2025-08-19,Concacaf Caribbean Cup,Group Stage,Cibao,Cavalier,Estadio Cibao,2837292773,61,1,43,59,L. Villalba,6lrtx6i2hsf52v8fh1j43f6cp,1,57.9,37.6,,,,,,,,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e79xdwc30oj2yajnpg8mauqz8,2025-08-19,Concacaf Caribbean Cup,Group Stage,Cibao,Cavalier,Estadio Cibao,2837292783,49,1,44,1,S. Watson,3v5e2q2vqn0fgqrbkz6dbfs3i,1,31.6,55.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e79xdwc30oj2yajnpg8mauqz8,2025-08-19,Concacaf Caribbean Cup,Group Stage,Cibao,Cavalier,Estadio Cibao,2837292807,1,1,44,1,S. Watson,3v5e2q2vqn0fgqrbkz6dbfs3i,1,31.6,55.2,,,,,,,,,,4.28,,Back,25.2,21.6,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e79xdwc30oj2yajnpg8mauqz8,2025-08-19,Concacaf Caribbean Cup,Group Stage,Cibao,Cavalier,Estadio Cibao,2837292813,1,1,44,5,C. Ainsworth,3v5e2q2vqn0fgqrbkz6dbfs3i,0,24.1,22.7,,,,,,,,,,0.15,,Center,49.8,34.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
